country_id,country_iso2,country_iso3
ni,NI,NIC
in,IN,IND
ht,HT,HTI
ke,KE,KEN
cn,CN,CHN
gt,GT,GTM
th,TH,THA
rw,RW,RWA
br,BR,BRA
mx,MX,MEX
ir,IR,IRN
eg,EG,EGY
tz,TZ,TZA
za,ZA,ZAF
np,NP,NPL
ug,UG,UGA
do,DO,DOM
mw,MW,MWI
id,ID,IDN
et,ET,ETH
pe,PE,PER
ec,EC,ECU
cm,CM,CMR
af,AF,AFG
ng,NG,NGA
ma,MA,MAR
bd,BD,BGD
zw,ZW,ZWE
ls,LS,LSO
jo,JO,JOR
bf,BF,BFA
sk,SK,SVK
zm,ZM,ZMB
gh,GH,GHA
pk,PK,PAK
my,MY,MYS
mz,MZ,MOZ
ar,AR,ARG
ro,RO,ROU
cr,CR,CRI
lk,LK,LKA
ml,ML,MLI
tg,TG,TGO
ye,YE,YEM
sn,SN,SEN
ua,UA,UKR
ph,PH,PHL
ne,NE,NER
co,CO,COL
tn,TN,TUN
gw,GW,GNB
tj,TJ,TJK
sv,SV,SLV
bi,BI,BDI
mg,MG,MDG
ps,PS,PSE
jm,JM,JAM
hn,HN,HND
lr,LR,LBR
cd,CD,COD
bj,BJ,BEN
rs,RS,SRB
td,TD,TCD
kh,KH,KHM
bt,BT,BTN
gm,GM,GMB
bo,BO,BOL
sl,SL,SLE
hu,HU,HUN
tl,TL,TLS
bw,BW,BWA
hr,HR,HRV
sz,SZ,SWZ
dz,DZ,DZA
pa,PA,PAN
mm,MM,MMR
uy,UY,URY
cl,CL,CHL
sd,SD,SDN
py,PY,PRY
iq,IQ,IRQ
lb,LB,LBN
ba,BA,BIH
ru,RU,RUS
uz,UZ,UZB
la,LA,LAO
cg,CG,COG
pg,PG,PNG
al,AL,ALB
xk,XK,XKX
mn,MN,MNG
gy,GY,GUY
ao,AO,AGO
bg,BG,BGR
mv,MV,MDV
us,US,USA
bz,BZ,BLZ
sy,SY,SYR
dj,DJ,DJI
aw,AW,ABW
mr,MR,MRT
ve,VE,VEN
gn,GN,GIN
pl,PL,POL
kg,KG,KGZ
ss,SS,SSD
fj,FJ,FJI
tt,TT,TTO
am,AM,ARM
mu,MU,MUS
kz,KZ,KAZ
kr,KR,KOR
na,NA,NAM
md,MD,MDA
cy,CY,CYP
vu,VU,VUT
pt,PT,PRT
to,TO,TON
ge,GE,GEO
hk,HK,HKG
er,ER,ERI
cu,CU,CUB
by,BY,BLR
sb,SB,SLB
az,AZ,AZE
ga,GA,GAB
km,KM,COM
lv,LV,LVA
ws,WS,WSM
lc,LC,LCA
no,NO,NOR
cv,CV,CPV
ly,LY,LBY
